File,ID,Identity
1000_ablation_no_flow_SARs-COV2.fasta,Ablation_NoFlow_1,0.9545454545454546
1000_ablation_no_flow_SARs-COV2.fasta,Ablation_NoFlow_2,1.0
1000_ablation_no_flow_SARs-COV2.fasta,Ablation_NoFlow_3,0.9590163934426229
1000_ablation_no_flow_SARs-COV2.fasta,Ablation_NoFlow_4,0.9545454545454546
1000_ablation_no_flow_SARs-COV2.fasta,Ablation_NoFlow_5,0.9357798165137615
1000_ablation_no_flow_SARs-COV2.fasta,Ablation_NoFlow_6,0.9285714285714286
1000_ablation_no_flow_SARs-COV2.fasta,Ablation_NoFlow_7,0.8793103448275862
1000_ablation_no_flow_SARs-COV2.fasta,Ablation_NoFlow_8,0.9401709401709402
1000_ablation_no_flow_SARs-COV2.fasta,Ablation_NoFlow_9,0.7457627118644068
1000_ablation_no_flow_SARs-COV2.fasta,Ablation_NoFlow_10,0.8214285714285714
1000_ablation_no_flow_SARs-COV2.fasta,Ablation_NoFlow_11,1.0
1000_ablation_no_flow_SARs-COV2.fasta,Ablation_NoFlow_12,0.9166666666666666
1000_ablation_no_flow_SARs-COV2.fasta,Ablation_NoFlow_13,1.0
1000_ablation_no_flow_SARs-COV2.fasta,Ablation_NoFlow_14,0.8793103448275862
1000_ablation_no_flow_SARs-COV2.fasta,Ablation_NoFlow_15,0.9230769230769231
1000_ablation_no_flow_SARs-COV2.fasta,Ablation_NoFlow_16,0.8738738738738738
1000_ablation_no_flow_SARs-COV2.fasta,Ablation_NoFlow_17,0.7706422018348624
1000_ablation_no_flow_SARs-COV2.fasta,Ablation_NoFlow_18,0.9035087719298246
1000_ablation_no_flow_SARs-COV2.fasta,Ablation_NoFlow_19,0.7457627118644068
1000_ablation_no_flow_SARs-COV2.fasta,Ablation_NoFlow_20,0.8264462809917356
1000_ablation_no_flow_SARs-COV2.fasta,Ablation_NoFlow_21,0.7706422018348624
1000_ablation_no_flow_SARs-COV2.fasta,Ablation_NoFlow_22,0.8214285714285714
1000_ablation_no_flow_SARs-COV2.fasta,Ablation_NoFlow_23,0.8141592920353983
1000_ablation_no_flow_SARs-COV2.fasta,Ablation_NoFlow_24,0.9181818181818182
1000_ablation_no_flow_SARs-COV2.fasta,Ablation_NoFlow_25,0.8347826086956521
1000_ablation_no_flow_SARs-COV2.fasta,Ablation_NoFlow_26,0.8264462809917356
1000_ablation_no_flow_SARs-COV2.fasta,Ablation_NoFlow_27,1.0
1000_ablation_no_flow_SARs-COV2.fasta,Ablation_NoFlow_28,0.8214285714285714
1000_ablation_no_flow_SARs-COV2.fasta,Ablation_NoFlow_29,0.9572649572649573
1000_ablation_no_flow_SARs-COV2.fasta,Ablation_NoFlow_30,1.0
1000_ablation_no_flow_SARs-COV2.fasta,Ablation_NoFlow_31,0.9166666666666666
1000_ablation_no_flow_SARs-COV2.fasta,Ablation_NoFlow_32,0.9166666666666666
1000_ablation_no_flow_SARs-COV2.fasta,Ablation_NoFlow_33,0.9629629629629629
1000_ablation_no_flow_SARs-COV2.fasta,Ablation_NoFlow_34,0.8264462809917356
1000_ablation_no_flow_SARs-COV2.fasta,Ablation_NoFlow_35,0.7457627118644068
1000_ablation_no_flow_SARs-COV2.fasta,Ablation_NoFlow_36,0.9658119658119658
1000_ablation_no_flow_SARs-COV2.fasta,Ablation_NoFlow_37,0.9243697478991597
1000_ablation_no_flow_SARs-COV2.fasta,Ablation_NoFlow_38,0.9545454545454546
1000_ablation_no_flow_SARs-COV2.fasta,Ablation_NoFlow_39,1.0
1000_ablation_no_flow_SARs-COV2.fasta,Ablation_NoFlow_40,1.0
1000_ablation_no_flow_SARs-COV2.fasta,Ablation_NoFlow_41,0.8738738738738738
1000_ablation_no_flow_SARs-COV2.fasta,Ablation_NoFlow_42,0.8738738738738738
1000_ablation_no_flow_SARs-COV2.fasta,Ablation_NoFlow_43,0.7706422018348624
1000_ablation_no_flow_SARs-COV2.fasta,Ablation_NoFlow_44,0.9065420560747663
1000_ablation_no_flow_SARs-COV2.fasta,Ablation_NoFlow_45,1.0
1000_ablation_no_flow_SARs-COV2.fasta,Ablation_NoFlow_46,0.907563025210084
1000_ablation_no_flow_SARs-COV2.fasta,Ablation_NoFlow_47,0.9545454545454546
1000_ablation_no_flow_SARs-COV2.fasta,Ablation_NoFlow_48,0.9166666666666666
1000_ablation_no_flow_SARs-COV2.fasta,Ablation_NoFlow_49,0.9174311926605505
